subfuels,sub1sectors
01_01_coking_coal,08_02_interproduct_transfers
01_x_thermal_coal,08_03_products_transferred
01_05_lignite,09_01_electricity_plants
06_01_crude_oil,09_02_chp_plants
06_02_natural_gas_liquids,09_x_heat_plants
06_x_other_hydrocarbons,09_03_heat_pumps
07_01_motor_gasoline,09_04_electric_boilers
07_02_aviation_gasoline,09_05_chemical_heat_for_electricity_production
07_03_naphtha,09_06_gas_processing_plants
07_x_jet_fuel,09_07_oil_refineries
07_06_kerosene,09_08_coal_transformation
07_07_gas_diesel_oil,09_09_petrochemical_industry
07_08_fuel_oil,09_10_biofuels_processing
07_09_lpg,09_11_charcoal_processing
07_10_refinery_gas_not_liquefied,09_12_nonspecified_transformation
07_11_ethane,09_13_hydrogen_transformation
07_x_other_petroleum_products,10_01_own_use
08_01_natural_gas,10_02_transmision_and_distribution_losses
08_02_lng,14_01_mining_and_quarrying
08_03_gas_works_gas,14_02_construction
12_01_of_which_photovoltaics,14_03_manufacturing
12_x_other_solar,15_01_domestic_air_transport
15_01_fuelwood_and_woodwaste,15_02_road
15_02_bagasse,15_03_rail
15_03_charcoal,15_04_domestic_navigation
15_04_black_liquor,15_05_pipeline_transport
15_05_other_biomass,15_06_nonspecified_transport
16_01_biogas,16_01_buildings
16_02_industrial_waste,16_02_agriculture_and_fishing
16_03_municipal_solid_waste_renewable,16_05_nonspecified_others
16_04_municipal_solid_waste_nonrenewable,17_01_transformation_sector
16_05_biogasoline,17_02_industry_sector
16_06_biodiesel,17_03_transport_sector
16_07_bio_jet_kerosene,17_04_other_sector
16_08_other_liquid_biofuels,18_01_electricity_plants
16_09_other_sources,18_02_chp_plants
16_x_ammonia,19_01_chp_plants
16_x_hydrogen,19_02_heat_plants
16_x_efuel,x
x,
